JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,KECEPATAN TRANSAKSI,BIAYA BAHAN BAKU,PANJANG PRODUK,BERAT PRODUK,HARGA PRODUK
SILVER NECKLECES ,NSBP 440,0,0,2,36.288,16,126,60.48
SILVER NECKLECES ,NSBP 440,0,0,2,40.608,18,141,67.68
SILVER NECKLECES ,NSBP 440,0,0,2,45.216,20,157,75.36
SILVER NECKLECES ,NSOK 46,0,0,2,43.2,18,150,72
SILVER NECKLECES ,NSOK 46,0,0,2,47.52,20,165,79.2
SILVER BRACELETS,BSRK 560,0,0,5,23.964,7,208,39.94
SILVER BRACELETS,BSRK 560,0,0,5,25.23,7.5,219,42.05
SILVER BRACELETS,BSRK 560,0,0,5,26.724,8,232,44.54
SILVER BRACELETS,BSBP 440,0,0,1,17.856,7.5,31,29.76
SILVER BRACELETS,BSOK 46,0,0,20,17.742,7,616,29.57
SILVER BRACELETS,BSOK 46,0,0,25,19.008,7.5,825,31.68
SILVER BRACELETS,BSOK 46,0,0,8,20.376,8,283,33.96
SILVER BRACELETS,BSTR 075-G,0,0,1,79.674,7.5,54,132.79
SILVER NECKLECES ,NSRK 501,0,0,1,46.08,20,80,76.8
SILVER NECKLECES ,NSRK 501,0,0,1,50.688,22,88,84.48
SILVER NECKLECES ,NSRK 501,0,0,1,55.872,24,97,93.12
SILVER BRACELETS,BSBP 708,0,0,2,43.776,8,152,72.96
SILVER BRACELETS,BSBP 708,0,0,1,46.656,8.5,81,77.76
SILVER BRACELETS,BCHK 1040,0,0,4,62.208,8,432,103.68
SILVER BRACELETS,BCHK 1040,0,0,5,67.506,8.5,586,112.51
SILVER BRACELETS,BCHK 1040,0,0,1,70.272,9,122,117.12
SILVER BRACELETS,BCBP 682,0,0,4,29.232,7.5,203,48.72
SILVER BRACELETS,BCBP 682,0,0,3,30.912,8,161,51.52
SILVER BRACELETS,BCBP 682,0,0,4,32.832,8.5,228,54.72
SILVER BRACELETS,BSTR 681,0,0,7,29.952,7.5,364,49.92
SILVER BRACELETS,BSTR 681,0,0,3,32.064,8,167,53.44
SILVER BRACELETS,BSTR 681,0,0,2,33.696,8.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,2,37.728,8.5,131,62.88
SILVER BRACELETS,BCBP 68,0,0,3,29.568,7.5,154,49.28
SILVER BRACELETS,BCBP 68,0,0,3,31.68,8,165,52.8
SILVER BRACELETS,BCBP 68,0,0,3,33.024,8.5,172,55.04
SILVER BRACELETS,BCBP 68,0,0,3,33.6,9,115,56
SILVER BRACELETS,BSTR 379,0,0,3,49.92,8,260,83.2
SILVER BRACELETS,BSTR 379,0,0,3,52.608,8.5,274,87.68
SILVER BRACELETS,BSTR 379,0,0,3,55.296,9,288,92.16
SILVER BRACELETS,BFTN 126,0,0,1,66.24,9,115,110.4
SILVER BRACELETS,BTP 124,0,0,2,74.592,8,259,124.32
SILVER BRACELETS,BTP 124,0,0,2,80.064,8.5,278,133.44
SILVER BRACELETS,BTP 124,0,0,1,85.824,9,149,143.04
SILVER BRACELETS,BSKM 775,0,0,1,46.08,9,80,76.8
SILVER BRACELETS,BSTR 682,0,0,4,30.528,7.5,212,50.88
SILVER BRACELETS,BSTR 682,0,0,2,31.968,8,111,53.28
SILVER BRACELETS,BSTR 682,0,0,2,33.984,8.5,118,56.64
SILVER BRACELETS,BSTR 682,0,0,2,36,9,125,60
SILVER BRACELETS,BCBD 725,0,0,3,29.568,7,154,49.28
SILVER BRACELETS,BCBD 725,0,0,4,31.824,7.5,221,53.04
SILVER BRACELETS,BCBD 725,0,0,4,33.84,8,235,56.4
SILVER BRACELETS,BCBD 725,0,0,3,35.328,8.5,184,58.88
SILVER BRACELETS,BSTR 097,0,0,2,34.272,7,119,57.12
SILVER BRACELETS,BSTR 097,0,0,2,36.288,7.5,126,60.48
SILVER BRACELETS,BSTR 097,0,0,2,38.304,8,133,63.84
SILVER BRACELETS,BSTR 097,0,0,2,40.896,8.5,142,68.16
SILVER BRACELETS,BSFB 614,0,0,3,85.632,8,142,142.72
SILVER BRACELETS,BSFB 614,0,0,4,92.448,8.5,642,154.08
SILVER BRACELETS,BSFB 614,0,0,1,98.496,9,171,164.16
SILVER BRACELETS,BTP 1241,0,0,1,85.248,9,148,142.08
SILVER BRACELETS,BSAN 1845,0,0,1,60.48,7.5,105,100.8
SILVER BRACELETS,BSAN 1845,0,0,1,63.936,8,111,106.56
SILVER BRACELETS,NSRB 401,0,0,2,40.896,24,142,68.16
SILVER BRACELETS,BCKS 48,0,0,3,22.272,7.5,116,37.12
SILVER BRACELETS,BCKS 48,0,0,3,23.808,8,124,39.68
SILVER BRACELETS,BCKS 48,0,0,3,24.96,8.5,130,41.6
SILVER BRACELETS,BCKS 48,0,0,1,26.496,9,46,44.16
SILVER BRACELETS,BSBP 5711,0,0,2,26.208,7,91,43.68
SILVER BRACELETS,BSBP 5711,0,0,4,28.08,7.5,195,46.8
SILVER BRACELETS,BSBP 5711,0,0,3,29.952,8,156,49.92
SILVER BRACELETS,BSBP 5711,0,0,2,31.968,8.5,111,53.28
SILVER BRACELETS,BLKL 52,0,0,3,17.298,7.5,51,28.83
SILVER BRACELETS,BLKL 52,0,0,5,18.96,8,99,31.6
SILVER BRACELETS,BLKL 52,0,0,2,17.892,8.5,36,29.82
SILVER NECKLECES,NSRK 501,0,0,1,42.048,18,73,70.08
SILVER BRACELETS,BFTN 125,0,0,1,55.296,7.5,96,92.16
SILVER BRACELETS,BFTN 125,0,0,2,58.752,8,204,97.92
SILVER BRACELETS,BFTN 125,0,0,1,62.208,8,108,103.68
SILVER BRACELETS,BSTR 577,0,0,2,28.224,7,98,47.04
SILVER BRACELETS,BSTR 577,0,0,4,30.096,7.5,209,50.16
SILVER BRACELETS,BSTR 577,0,0,3,32.064,8,167,53.44
SILVER BRACELETS,BTRP 68,0,0,4,26.064,7.5,181,43.44
SILVER BRACELETS,BTRP 68,0,0,2,27.936,8,97,46.56
SILVER BRACELETS,BTRP 68,0,0,2,29.376,8.5,102,48.96
SILVER BRACELETS,BS04-S,0,1,1,68.256,7.5,56,113.76
SILVER BRACELETS,BAKL 123,0,0,3,27.456,7,143,45.76
SILVER BRACELETS,BAKL 123,0,0,3,28.992,7.5,151,48.32
SILVER BRACELETS,BAKL 123,0,0,2,31.104,8,108,51.84
SILVER BRACELETS,BSTR 46-S,0,12,2,35.142,7,63,58.57
SILVER BRACELETS,BSTR 46-S,0,12,3,35.142,7,95,58.57
SILVER BRACELETS,BSTR 46-S,0,12,2,36.396,7.5,67,60.66
SILVER BRACELETS,BSTR 46-S,0,12,3,36.396,7.5,101,60.66
SILVER BRACELETS,BCBP 4611-S,0,12,2,35.622,7,65,59.37
SILVER BRACELETS,BCBP 4611-S,0,12,1,35.742,7,33,59.57
SILVER BRACELETS,BCBP 4611-S,0,12,2,36.942,7.5,69,61.57
SILVER BRACELETS,BCBP 4611-S,0,12,3,36.942,7.5,103,61.57
SILVER BRACELETS,BCTR 738-S,0,12,3,50.586,7.5,150,84.31
SILVER BRACELETS,BCBP 461-S,0,12,2,35.082,7,63,58.47
SILVER BRACELETS,BCBP 461-S,0,12,2,35.082,7,63,58.47
SILVER BRACELETS,BCBP 461-S,0,12,3,35.946,7.5,99,59.91
SILVER BRACELETS,BCBP 461-S,0,12,4,35.946,7.5,131,59.91
SILVER BRACELETS,BCFK 562,0,0,2,28.224,7,98,47.04
SILVER BRACELETS,BCFK 562,0,0,5,29.49,7.5,256,49.15
SILVER BRACELETS,BCFK 562,0,0,2,31.968,8,111,53.28
SILVER BRACELETS,BCFK 561,0,0,2,29.088,7,101,48.48
SILVER BRACELETS,BCFK 561,0,0,5,30.414,7.5,264,50.69
SILVER BRACELETS,BCFK 561,0,0,2,32.832,8,114,54.72
SILVER BRACELETS,BSFK 5702-SG,0.9,28,1,68.724,7,42,114.54
SILVER BRACELETS,BSFK 5702-SG,0.9,28,1,70.452,7.5,45,117.42
SILVER BRACELETS,BSFK 5702-S,0,28,1,43.716,7,42,72.86
SILVER BRACELETS,BSFK 5702-S,0,28,1,44.868,7.5,44,74.78
SILVER BRACELETS,BSFK 5702-G,1.3,0,1,82.35,7.5,49,137.25
SILVER BRACELETS,BSFK 5702-SL,0,0,2,25.632,7,89,42.72
SILVER BRACELETS,BSFK 5702-SL,0,0,3,26.88,7.5,140,44.8
SILVER NECKLECES,NCPL 94,0,0,1,51.264,7.5,89,85.44
SILVER NECKLECES,NCPL 84,0,0,1,50.688,15,88,84.48
SILVER RINGS               ,RSTR 5705-S,0,54,1,15.534,7.5,11,25.89
SILVER RINGS                ,RSTR 5704-S,0,45,1,24.438,6.5,12,40.73
SILVER RINGS              ,RSTR 5703-S,0,57,1,27.564,6.5,14,45.94
SILVER RINGS,RSTR 570l-S,0,57,1,32.052,6,16,53.42
SILVER RINGS,RSTR 5702-S,0,61,1,29.064,6.5,14,48.44
SILVER RINGS,RC01-S,0,1,1,20.448,7.5,12,34.08
SILVER RINGS,RC02-S,0,16,1,24.27,7,9,40.45
SILVER RINGS,RC03-S,0,1,1,14.952,6.5,8,24.92
SILVER RINGS,RC04-S,0,1,1,16.314,6.5,6,27.19
SILVER BRACELETS,BSNT 156,0,0,1,63.936,8.5,111,106.56
SILVER PENDANT,CP01-S,0,0,1,22.392,8.5,18,37.32
SILVER PENDANT,CP02-S,0,0,1,21.066,8.5,14,35.11
SILVER NECKLECES,NCKK 45,0,0,1,16.704,20,29,27.84
SILVER NECKLECES,NCKK 45,0,0,1,17.856,22,31,29.76
SILVER BRACELETS                                           ,BCBP 682,0,0,1,39.168,10,68,65.28
SILVER BRACELETS                                             ,BTP 124,0,0,1,80.064,8,139,133.44
SILVER BRACELETS                                           ,BTP 124,0,0,4,83.52,8.5,580,139.2
SILVER BRACELETS                                             ,BTP 124,0,0,1,88.128,9,153,146.88
SILVER BRACELETS                                           ,BSER 125,0,0,2,35.712,7.5,124,59.52
SILVER BRACELETS                                           ,BSER 125,0,0,2,40.608,8.5,141,67.68
SILVER BRACELETS                                            ,BSER 117,0,0,2,39.168,7.5,136,65.28
SILVER BRACELETS                                           ,BSER 117,0,0,2,44.352,8.5,154,73.92
SILVER BRACELETS                                            ,BSKN 68,0,0,2,30.24,7.5,105,50.4
SILVER BRACELETS                                               ,BSKN 68,0,0,2,33.696,8.5,117,56.16
SILVER BRACELETS,BSOK 46-GP,0,0,12,21.912,7,369,36.52
SILVER BRACELETS,BSOK 46-GP,0,0,12,23.064,7.5,393,38.44
SILVER BRACELETS,BSOK 46-GP,0,0,8,24.36,8,280,40.6
SILVER BRACELETS ,BSTR 750-GP,0,0,8,34.008,7.5,414,56.68
SILVER BRACELETS ,BSTR 750-GP,0,0,12,35.88,8,660,59.8
SILVER BRACELETS ,BSTR 750-GP,0,0,12,38.328,8.5,711,63.88
SILVER BRACELETS ,BSTR 750-GP,0,0,8,39.84,9,495,66.4
SILVER NECKLECES ,NSRK 401-GP,0,0,12,31.896,18,577,53.16
SILVER NECKLECES,NSRK 401-GP,0,0,12,34.824,20,638,58.04
SILVER NECKLECES,NSRK 401-GP,0,0,12,37.656,22,697,62.76
SILVER NECKLECES ,NSRK 401-GP,0,0,12,40.008,24,746,66.68
SILVER NECKLECES,NSRK 501-GP,0,0,6,45.384,18,429,75.64
SILVER NECKLECES,NSRK 501-GP,0,0,6,49.896,20,476,83.16
SILVER NECKLECES,NSRK 501-GP,0,0,6,54.312,22,522,90.52
SILVER NECKLECES ,NSRK 501-GP,0,0,6,58.728,24,568,97.88
SILVER BRACELETS ,BSER 117-G,0.9,0,1,85.632,8,74,142.72
SILVER BRACELETS,BSER 117-G,0.9,0,1,87.36,8.5,79,145.6
SILVER BRACELETS,BSRB 614,0,0,2,88.128,8,306,146.88
SILVER BRACELETS,BSRB 614,0,0,2,93.6,8.5,325,156
SILVER BRACELETS,BSRK 560,0,0,5,23.844,7,207,39.74
SILVER BRACELETS,BSRK 560,0,0,5,25.344,7.5,220,42.24
SILVER BRACELETS,BSRK 560,0,0,5,26.61,8,231,44.35
SILVER BRACELETS,BTP 154-S,0,5,1,104.4,8.5,150,174
SILVER BRACELETS,BTP 154-S,0,5,1,110.16,9,160,183.6
SILVER BRACELETS,BSFK 850-G,0.9,0,1,78.72,7.5,62,131.2
SILVER BRACELETS,BSFK 850-G,0.9,0,1,81.024,7.5,66,135.04
SILVER BRACELETS ,BSTR 577-G,1,0,1,77.07,7.5,50,128.45
SILVER BRACELETS,BSTR 550,0,0,3,31.488,8,164,52.48
SILVER BRACELETS,BSTR 550,0,0,3,32.64,8.5,170,54.4
SILVER BRACELETS,BCHK 1040,0,0,2,64.8,8.5,225,108
SILVER BRACELETS,BSER 1016,0,0,1,71.424,8,124,119.04
SILVER BRACELETS,BSER 1016,0,0,1,74.304,8.5,129,123.84
SILVER BRACELETS,BSER 1016,0,0,1,80.064,9,139,133.44
SILVER BRACELETS,BSER 1216-S,0,6,1,92.304,8.25,129,153.84
SILVER BRACELETS,BSER 1216-S,0,6,1,96.912,8.75,137,161.52
SILVER BRACELETS,BBBG 425-G,2.3,0,1,140.184,8.75,88,233.64
GOLD RING (141<),RCRH 01,5,0,1,132.3,4,5,220.5
GOLD RING (141<),RCRH 01,9.2,0,1,238.392,8.5,9.2,397.32
SILVER BRACELETS,BSTR 6831-SG,0.5,20,1,62.658,7.5,53,104.43
SILVER BRACELETS,BSTR 7931-SG,0.6,18,1,72.6,7.5,66,121
SILVER BRACELETS,BSFK 5701-SG,1.1,57,1,82.428,7.5,48,137.38
SILVER BRACELETS,BSTR 5705-SG,1.1,75,1,82.494,7.5,43,137.49
SILVER BRACELETS,BSTR 5701-SG,1,33,1,74.238,7,40,123.73
SILVER BRACELETS,BSTR 5702-SG,1,33,1,77.4,7.5,42,129
SILVER BRACELETS,BSTR 5703-SG,1,37,1,77.646,7,40,129.41
SILVER BRACELETS,BLKL 750,0,0,1,19.08,7.5,20,31.8
SILVER BRACELETS,BLKL 750,0,0,1,19.674,8,21,32.79
SILVER BRACELETS,BSTR 5704-S,0,33,1,48.822,7.5,41,81.37
SILVER BRACELETS,BSTR 5703-S,0,37,1,48.966,7.5,41,81.61
SILVER BRACELETS,BSKN 68,0,0,3,31.104,7.5,162,51.84
SILVER BRACELETS,BSKN 68,0,0,4,32.976,8,229,54.96
SILVER BRACELETS,BSKN 68,0,0,1,34.56,8.5,60,57.6
SILVER BRACELETS,BDKM 075,0,0,3,44.928,8.25,234,74.88
SILVER BRACELETS,BSKM 775,0,0,3,41.664,7.5,217,69.44
SILVER BRACELETS,BSKM 775,0,0,4,43.488,8,302,72.48
SILVER BRACELETS,BSKM 775,0,0,2,45.216,8.5,157,75.36
SILVER BRACELETS,BSFB 614,0,0,3,87.552,8,456,145.92
SILVER BRACELETS,BSFB 614,0,0,2,94.176,8.5,327,156.96
SILVER BRACELETS,BSFB 614,0,0,1,98.496,9,171,164.16
SILVER BRACELETS,BSBP 5711,0,0,2,27.936,7.5,97,46.56
SILVER BRACELETS,BSBP 5711,0,0,7,29.868,8,363,49.78
SILVER BRACELETS,BSBP 5711,0,0,4,31.68,8.5,220,52.8
SILVER BRACELETS,BTP 124,0,0,4,73.44,8,510,122.4
SILVER BRACELETS,BTP 124,0,0,2,77.76,8.5,270,129.6
SILVER BRACELETS,BTP 124,0,0,1,82.368,9,143,137.28
SILVER BRACELETS,BFTN 127,0,0,1,71.424,8.5,124,119.04
SILVER BRACELETS,BFTN 127,0,0,1,75.456,9,131,125.76
SILVER BRACELETS,BSER 1016,0,0,4,75.312,8,523,125.52
SILVER BRACELETS,BSER 1016,0,0,3,78.912,8.5,411,131.52
SILVER BRACELETS,BSER 1016,0,0,1,83.52,9,145,139.2
SILVER BRACELETS,BFTR 150,0,0,1,71.424,8.5,124,119.04
SILVER BRACELETS,BFTR 150,0,0,1,76.032,9,132,126.72
SILVER BRACELETS,BSTR 179,0,0,2,35.712,7.5,124,59.52
SILVER BRACELETS,BFTN 115,0,0,3,51.84,8,270,86.4
SILVER BRACELETS,BSTR 462,0,0,2,19.008,7.5,66,31.68
SILVER BRACELETS,BCRK 705,0,0,1,34.56,8,60,57.6
SILVER BRACELETS,BSTR 711,0,0,3,52.608,8,274,87.68
SILVER BRACELETS,BSTR 711,0,0,5,55.872,8.5,485,93.12
SILVER BRACELETS,BCTR 800,0,0,2,74.304,8.5,258,123.84
SILVER BRACELETS,BSFK 850,0,0,4,34.56,7.5,240,57.6
SILVER BRACELETS,BSFK 850,0,0,5,37.092,8,322,61.82
SILVER BRACELETS,BSFB 074,0,0,2,31.68,7,110,52.8
SILVER BRACELETS,BSFB 074,0,0,5,33.87,7.5,294,56.45
SILVER BRACELETS,BSFB 074,0,0,4,35.424,8,246,59.04
SILVER BRACELETS,BCKS 410,0,0,1,50.112,8.5,87,83.52
SILVER BRACELETS,BCKS 167,0,0,1,119.808,9,208,199.68
SILVER BRACELETS,BSRK 560,0,0,3,25.728,8,134,42.88
SILVER BRACELETS,BSED 3512,0,0,2,31.68,7,110,52.8
SILVER BRACELETS,BSED 1151,0,0,1,35.136,7.5,61,58.56
SILVER BRACELETS,BSED 1151,0,0,2,36.864,8,128,61.44
SILVER BRACELETS,BSED 1151,0,0,1,40.896,9,71,68.16
SILVER BRACELETS,BTP 128,0,0,2,64.512,8,224,107.52
SILVER BRACELETS,BTP 128,0,0,1,69.696,8.5,121,116.16
SILVER BRACELETS,BTP 128,0,0,2,73.152,9,254,121.92
SILVER BRACELETS,BCKS 48,0,0,2,22.176,7,77,36.96
SILVER BRACELETS,BCKS 48,0,0,6,24.096,7.5,251,40.16
SILVER BRACELETS,BCKS 48,0,0,3,25.728,8,134,42.88
SILVER NECKLECES,NCKS 48,0,0,4,60.336,20,419,100.56
SILVER NECKLECES,NCKS 48,0,0,2,67.68,22,235,112.8
SILVER BRACELETS,BCKS 156,0,0,1,66.816,8.5,116,111.36
SILVER BRACELETS,BSBP 708,0,0,1,44.352,8,77,73.92
SILVER BRACELETS,BSBP 708,0,0,1,47.232,8.5,82,78.72
SILVER BRACELETS,BSBP 708,0,0,1,50.112,9,87,83.52
SILVER BRACELETS,BCTP 115,0,0,2,77.76,8.5,270,129.6
SILVER BRACELETS,BCBD 725,0,0,2,33.696,8,117,56.16
SILVER BRACELETS,BCBD 725,0,0,2,35.136,8.5,122,58.56
SILVER NECKLECES,NSRB 401,0,0,2,40.896,24,142,68.16
SILVER BRACELETS,BCSS 800,0,0,3,41.472,7.5,216,69.12
SILVER BRACELETS,BCSS 800,0,0,5,44.004,8,382,73.34
SILVER BRACELETS,BCSS 800,0,0,2,45.792,8.5,159,76.32
SILVER BRACELETS,BSTR 097,0,0,4,38.16,8,265,63.6
SILVER BRACELETS,BSTR 097,0,0,3,40.896,8.5,213,68.16
SILVER BRACELETS,BSTR 097,0,0,1,43.2,9,75,72
SILVER BRACELETS,BSFK 850-G,0.9,0,1,78.276,8,64,130.46
SILVER BRACELETS,BSOK 46,0,0,17,17.484,7,516,29.14
SILVER BRACELETS,BSOK 46,0,0,24,18.888,7.5,787,31.48
SILVER BRACELETS,BSOK 46,0,0,12,20.88,8,435,34.8
SILVER BRACELETS,BSOK 46,0,0,2,20.736,8.25,72,34.56
SILVER BRACELETS,BSTR 550,0,0,2,30.24,8,105,50.4
SILVER BRACELETS,BSTR 550,0,0,2,31.68,8.5,110,52.8
SILVER BRACELETS,BSTR 550,0,0,2,33.12,9,115,55.2
SILVER BRACELETS,BSTR 577,0,0,4,26.64,7,185,44.4
SILVER BRACELETS,BSTR 577,0,0,7,28.554,7.5,347,47.59
SILVER BRACELETS,BSTR 577,0,0,5,30.528,8,265,50.88
SILVER BRACELETS,BSTR 577,0,0,2,31.68,8.5,110,52.8
SILVER BRACELETS,BCHK 1041,0,0,2,63.648,8,221,106.08
SILVER BRACELETS,BCHK 1041,0,0,2,66.528,8.5,231,110.88
SILVER BRACELETS,BCHK 1041,0,0,2,70.56,9,245,117.6
SILVER BRACELETS,BSTR 097-S,0,46,6,61.602,7.5,406,102.67
SILVER BRACELETS,BSTR 097-S,0,46,3,63.906,8,217,106.51
SILVER BRACELETS,BCFK 155,0,0,6,87.84,8.5,915,146.4
SILVER BRACELETS,BCFK 155,0,0,1,93.312,9,162,155.52
SILVER BRACELETS,BCFK 560,0,0,8,35.064,8,487,58.44
SILVER BRACELETS,BCHK 1040,0,0,1,60.48,7.5,105,100.8
SILVER BRACELETS,BCHK 1040,0,0,1,63.36,8,110,105.6
SILVER BRACELETS,BFTN 126,0,0,2,59.04,8,205,98.4
SILVER BRACELETS,BFTN 126,0,0,3,61.248,8.5,319,102.08
SILVER BRACELETS,BSTR 379,0,0,2,46.656,7.5,162,77.76
SILVER BRACELETS,BSTR 379,0,0,4,49.392,8,343,82.32
SILVER BRACELETS,BSTR 379,0,0,2,52.416,8.5,182,87.36
SILVER BRACELETS,BSTR 845-S,0,50,3,54.96,8.5,166,91.6
SILVER BRACELETS,BSTR 845-S,0,50,2,56.784,8,117,94.64
SILVER BRACELETS,BSTR 845-S,0,50,2,56.784,8,111,94.64
SILVER BRACELETS,BCBP 68,0,0,6,27.744,7.5,289,46.24
SILVER BRACELETS,BCBP 68,0,0,5,29.262,8,254,48.77
SILVER BRACELETS,BCBP 68,0,0,4,31.392,8.5,218,52.32
SILVER BRACELETS,BSTR 5704-S,0,33,1,47.886,7,39,79.81
SILVER BRACELETS,BSTR 5704-S,0,33,1,44.316,7,39,73.86
SILVER BRACELETS,BSTR 5704-S,0,33,1,44.316,7.5,40,73.86
SILVER BRACELETS,BSTR 5703,0,0,1,47.814,7,39,79.69
SILVER BRACELETS,BSTR 5702-S,0,35,1,44.676,7,38,74.46
SILVER BRACELETS,NSTR 468-S,0,12,1,61.338,16,75,102.23
SILVER BRACELETS,NSTR 468-S,0,12,1,65.946,18,83,109.91
SILVER BRACELETS,BSTR 468-S,0,12,3,37.488,7.5,107,62.48
SILVER BRACELETS,BSTR 468-S,0,12,2,37.488,7.5,71,62.48
SILVER NECKLECES,NSRB 301,0,0,2,14.112,16,49,23.52
SILVER NECKLECES,NSRB 301,0,0,2,15.552,18,54,25.92
SILVER NECKLECES,NSRB 301,0,0,2,17.568,20,61,29.28
SILVER NECKLECES,NSRB 301,0,0,2,21.024,24,73,35.04
SILVER NECKLECES,NSRB 301,0,0,2,25.92,30,90,43.2
SILVER BRACELETS,BCBD 725,0,0,3,29.568,7,154,49.28
SILVER BRACELETS,BCBD 725,0,0,4,31.248,7.5,217,52.08
SILVER BRACELETS,BCBD 725,0,0,4,32.832,8,228,54.72
SILVER BRACELETS,BSTR 6831,0,0,7,30.036,7.5,365,50.06
