JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,KECEPATAN TRANSAKSI,BIAYA BAHAN BAKU,PANJANG PRODUK,BERAT PRODUK,HARGA PRODUK
SILVER NECKLECES,NS 04-S,0,1,2,74.76,17,166,124.6
SILVER BRACELETS,BS 04-S,0,1,1,66.696,7.5,46,111.16
SILVER BRACELETS,BS 04-S,0,1,2,52.296,7.5,90,87.16
SILVER BRACELETS,BCBP 461,0,0,6,16.128,7,168,26.88
SILVER BRACELETS,BCBP 461,0,0,7,17.118,7.5,208,28.53
SILVER BRACELETS,BSFK 816,0,0,4,36.144,7.5,251,60.24
SILVER BRACELETS,BSFK 816,0,0,3,38.208,8,199,63.68
SILVER BRACELETS,BSFK 816,0,0,3,40.32,8.5,210,67.2
SILVER BRACELETS,BSTR 815-S,0,15,3,42.966,7.5,133,71.61
SILVER BRACELETS,BSTR 815-S,0,15,2,44.214,8,93,73.69
SILVER BRACELETS,BCTR 738-SL,0,0,6,28.32,7,295,47.2
SILVER BRACELETS,BCTR 738-SL,0,0,6,29.664,7.5,309,49.44
SILVER BRACELETS,BSTR 682,0,0,2,28.512,7,99,47.52
SILVER BRACELETS,BSTR 682,0,0,7,30.198,7.5,367,50.33
SILVER BRACELETS,BSTR 682,0,0,4,31.68,8,220,52.8
SILVER BRACELETS,BSTR 681,0,0,2,28.224,7,98,47.04
SILVER BRACELETS,BSTR 681,0,0,6,29.76,7.5,310,49.6
SILVER BRACELETS,BSTR 681,0,0,3,31.488,8,164,52.48
SILVER BRACELETS,BSBP 5711,0,0,5,26.382,7,229,43.97
SILVER BRACELETS,BSBP 5711,0,0,5,27.996,7.5,243,46.66
SILVER BRACELETS,BSTR 683,0,0,3,10.176,7,53,16.96
SILVER BRACELETS,BSTR 683,0,0,5,31.104,7.5,270,51.84
SILVER BRACELETS,BSTR 683,0,0,2,32.544,8,113,54.24
SILVER BRACELETS,BSTR 684,0,0,2,29.952,7,104,49.92
SILVER BRACELETS,BSTR 684,0,0,5,31.908,7.5,277,53.18
SILVER BRACELETS,BSTR 684,0,0,3,33.792,8,176,56.32
SILVER BRACELETS,BSTR 463,0,0,13,18.918,7,427,31.53
SILVER BRACELETS,BSTR 463,0,0,14,20.49,7.5,498,34.15
SILVER BRACELETS,BCBP 682,0,0,2,27.936,7,97,46.56
SILVER BRACELETS,BCBP 682,0,0,6,29.76,7.5,310,49.6
SILVER BRACELETS,BCBP 682,0,0,3,31.872,8,166,53.12
SILVER BRACELETS,BSTR 571,0,0,8,19.44,7,270,32.4
SILVER BRACELETS,BSTR 571,0,0,11,20.79,7.5,397,34.65
SILVER BRACELETS,BSTR 572,0,0,7,19.998,7,243,33.33
SILVER BRACELETS,BSTR 572,0,0,7,21.15,7.5,257,35.25
SILVER  BRACELETS,BSTN 1445-S,0,12,3,59.562,7.5,222,99.27
SILVER BRACELETS,BSTN 1445-S,0,12,3,62.256,8,236,103.76
SILVER  BRACELETS,BSFB 955,0,0,3,41.28,7.5,215,68.8
SILVER  BRACELETS,BSFB 955,0,0,4,44.496,7.5,309,74.16
SILVER  BRACELETS,BSFB 955,0,0,2,46.656,8.5,162,77.76
SILVER  BRACELETS,BSFB 614,0,0,1,86.976,8,151,144.96
SILVER  BRACELETS,BCBD 725,0,0,1,39.744,9.5,69,66.24
SILVER  BRACELETS,BCBP 701,0,0,3,38.976,7.5,203,64.96
SILVER  BRACELETS,BCBP 702,0,0,4,41.616,8,289,69.36
SILVER  BRACELETS,BCBP 703,0,0,3,43.776,8.5,228,72.96
SILVER  BRACELETS,BCHK 1041,0,0,5,63.936,8,555,106.56
SILVER  BRACELETS,BCHK 1042,0,0,4,68.256,8.5,474,113.76
SILVER  BRACELETS,BCHK 1043,0,0,4,71.712,9,498,119.52
SILVER  BRACELETS,BFTN 115,0,0,3,50.304,7.5,262,83.84
SILVER  BRACELETS,BFTN 115,0,0,3,53.952,8,281,89.92
SILVER  BRACELETS,BFTN 115,0,0,3,57.792,8.5,301,96.32
SILVER  BRACELETS,BSER 117,0,0,2,42.624,7.5,148,71.04
SILVER  BRACELETS,BSER 117,0,0,3,44.928,8,234,74.88
SILVER  BRACELETS,BSER 117,0,0,3,46.848,8.5,244,78.08
SILVER  BRACELETS,BSER 125,0,0,3,34.56,7,180,57.6
SILVER  BRACELETS,BSER 125,0,0,6,36.96,7.5,385,61.6
SILVER  BRACELETS,BSTR 711,0,0,3,56.064,8,292,93.44
SILVER  BRACELETS,BSTR 711,0,0,5,59.79,8.5,519,99.65
SILVER  BRACELETS,BSTR 711,0,0,4,63.072,9,438,105.12
SILVER  BRACELETS,BTOV 561,0,0,9,23.298,7,364,38.83
SILVER  BRACELETS,BTOV 561,0,0,12,24.912,7.5,519,41.52
SILVER  BRACELETS,BTOV 561,0,0,2,26.784,8,93,44.64
SILVER  BRACELETS,BSOK 57,0,0,5,23.844,7,207,39.74
SILVER  BRACELETS,BSOK 57,0,0,10,25.056,7.5,435,41.76
SILVER  BRACELETS,BSOK 57,0,0,4,26.64,8,185,44.4
SILVER  BRACELETS,BSHK 743,0,0,2,41.472,7.5,144,69.12
SILVER  BRACELETS,BSHK 743,0,0,4,43.488,8,302,72.48
SILVER  BRACELETS,BSHK 743,0,0,2,46.656,8.5,162,77.76
SILVER  BRACELETS,BTP 124,0,0,2,75.456,8,262,125.76
SILVER  BRACELETS,BTP 124,0,0,3,80.064,8.5,417,133.44
SILVER  BRACELETS,BTP 124,0,0,3,84.672,9,441,141.12
SILVER  BRACELETS,BCPL 210,0,0,6,35.04,7.5,365,58.4
SILVER  BRACELETS,BCPL 210,0,0,4,37.152,8,258,61.92
SILVER  BRACELETS,BCPL 210,0,0,4,38.88,8.5,270,64.8
SILVER  BRACELETS,BCST 775,0,0,3,20.352,7.5,106,33.92
SILVER  BRACELETS,BCST 775,0,0,6,21.888,8,228,36.48
SILVER  BRACELETS,BCST 775,0,0,3,23.232,5,121,38.72
SILVER  BRACELETS,BSTR 711-G,0.9,0,1,108.84,8,99,181.4
SILVER  BRACELETS,BSTR 711-G,0.9,0,2,111.144,8.5,206,185.24
SILVER  BRACELETS,BSTR 577-G,1,0,2,76.278,7,103,127.13
SILVER  BRACELETS,BSTR 577-G,1,0,2,78.042,7.5,109,130.07
SILVER  BRACELETS,BSFB 614-G,2.2,0,1,169.116,8.5,163,281.86
SILVER  BRACELETS,BSFB 614-G,2.2,0,1,174.876,9,173,291.46
SILVER  BRACELETS,BCST 775-G,0.8,0,2,59.832,7,73,99.72
SILVER  BRACELETS,BCST 775-G,0.8,0,4,59.688,7.5,145,99.48
SILVER NECKLECES,NSRK 501,0,0,3,42.048,18,219,70.08
SILVER NECKLECES,NSRK 501,0,0,1,47.808,20,83,79.68
SILVER NECKLECES,NSRK 501,0,0,1,52.416,22,91,87.36
SILVER BRACELETS,BSTR 379,0,0,3,49.728,8,259,82.88
SILVER BRACELETS,BSTR 379,0,0,4,52.704,8.5,366,87.84
SILVER BRACELETS,BSTR 379,0,0,4,55.728,9,387,92.88
SILVER BRACELETS,BFTR 150,0,0,2,74.304,8.5,258,123.84
SILVER BRACELETS,BFTR 150,0,0,1,78.912,9,137,131.52
SILVER BRACELETS,BCHK 1040,0,0,2,67.968,8.75,236,113.28
SILVER NECKLECES,NSTR 468-S,0,12,1,63.594,16,81,105.99
SILVER NECKLECES,NSTR 468-S,0,12,1,63.594,16,81,105.99
SILVER NECKLECES,NSTR 468-S,0,12,3,69.354,18,273,115.59
SILVER BRACELETS,BSTR 835-S,0,35,2,53.202,7.5,113,88.67
SILVER BRACELETS,BSTR 835-S,0,35,2,53.202,7.5,112,88.67
SILVER BRACELETS,BTP 154-S,0,5,1,95.88,8,135,159.8
SILVER BRACELETS,BTP 154-S,0,5,2,100.488,8.5,286,167.48
SILVER BRACELETS,BSER 1216-S,0,6,1,91.428,8,131,152.38
SILVER BRACELETS,BSER 1216-S,0,6,1,94.884,8.5,137,158.14
SILVER NECKLECES,NSTR 815-S,0,15,1,87.696,18,122,146.16
SILVER NECKLECES,NSTR 815-S,0,15,1,87.696,18,122,146.16
SILVER NECKLECES,NSTR 815-S,0,15,1,96.912,20,137,161.52
SILVER NECKLECES,NSTR 815-S,0,15,1,96.912,20,138,161.52
SILVER BRACELETS,BSTR 4681-G,0.8,0,2,59.256,7,71,98.76
SILVER BRACELETS,BCBP 809-S,0,9,1,44.682,7.5,49,74.47
SILVER BRACELETS,BSRK 572-32S,0,32,1,49.782,7.5,47,82.97
SILVER BRACELETS,BSRK 572-32S,0,32,1,46.32,7.5,41,77.2
SILVER BRACELETS,BSRK 573-42S,0,32,1,51.192,7.5,48,85.32
SILVER BRACELETS,BSFK816-S,0,16,1,51.57,7.5,57,85.95
SILVER BRACELETS,BSER 125-S,0,12,1,53.226,7.5,63,88.71
SILVER BRACELETS,BS 915-S,0,15,1,32.658,7,24,54.43
SILVER BRACELETS,BS 915,0,0,1,13.8,7,23,23
SILVER BRACELETS,BSBP 540,0,0,1,27.648,7.5,48,46.08
SILVER BRACELETS,BDKM 775,0,0,1,31.68,7.5,55,52.8
SILVER BRACELETS,BOKM 075,0,0,1,42.048,8,73,70.08
SILVER BRACELETS,BSKM 851,0,0,1,49.536,7.5,86,82.56
SILVER BRACELETS,BSTL 107,0,0,6,44.16,8,460,73.6
SILVER BRACELETS,BSTL 107,0,0,6,46.944,8.5,489,78.24
SILVER BRACELETS,BSTL 107,0,0,1,49.536,9,86,82.56
SILVER BRACELETS,BCHK 1040,0,0,3,62.592,8,326,104.32
SILVER BRACELETS,BCHK 1040,0,0,3,67.776,8.5,353,112.96
SILVER BRACELETS,BCHK 1040,0,0,1,78.912,10,137,131.52
SILVER BRACELETS,BSTR 46,0,0,12,15.072,7,314,25.12
SILVER BRACELETS,BSTR 46,0,0,12,16.368,7.5,341,27.28
SILVER BRACELETS,BSTR 46,0,0,12,17.568,8,366,29.28
SILVER BRACELETS,BFTR 145,0,0,3,60.48,8,315,100.8
SILVER BRACELETS,BFTR 145,0,0,6,63.456,8.5,661,105.76
SILVER BRACELETS,BFTR 145,0,0,3,67.008,9,349,111.68
SILVER BRACELETS,BSOK 45,0,0,12,17.808,7,371,29.68
SILVER BRACELETS,BSOK 45,0,0,12,18.96,7.5,395,31.6
SILVER BRACELETS,BLKL 750,0,0,12,20.91,7.5,246,34.85
SILVER BRACELETS,BLKL 750,0,0,12,22.08,8,255,36.8
SILVER BRACELETS,BLKL 750,0,0,12,22.674,8.5,257,37.79
SILVER BRACELETS,BLKL 115,0,0,12,30.99,8,370,51.65
SILVER BRACELETS,BLKL 115,0,0,12,32.772,8.5,377,54.62
SILVER BRACELETS,BSOK 86-BR,0,1,6,34.848,8,363,58.08
SILVER BRACELETS,BSOK 86-BR,0,1,6,36.288,8.5,378,60.48
SILVER BRACELETS,BSED 1151,0,0,6,38.208,8,398,63.68
SILVER BRACELETS,BSED 1151,0,0,6,39.936,8.5,416,66.56
SILVER BRACELETS,BSBP 646,0,0,12,19.392,7,404,32.32
SILVER BRACELETS,BSBP 646,0,0,12,20.832,7.5,434,34.72
SILVER BRACELETS,BSBP 129-S,0,12,3,47.988,7,151,79.98
SILVER BRACELETS,BSBP 129-S,0,12,3,48.918,7,151,81.53
SILVER BRACELETS,BSBP 129-S,0,12,3,49.128,7,151,81.88
SILVER BRACELETS,BSBP 129-S,0,12,3,50.196,7.5,160,83.66
SILVER BRACELETS,BSBP 129-S,0,12,3,51.222,7.5,160,85.37
SILVER BRACELETS,BSBP 129-S,0,12,3,51.432,7.5,160,85.72
SILVER BRACELETS,BSER 125,0,0,6,38.784,8,404,64.64
SILVER BRACELETS,BSER 125,0,0,6,40.8,8.5,425,68
SILVER BRACELETS,BSER 117,0,0,6,44.256,8,461,73.76
SILVER BRACELETS,BSER 117,0,0,6,46.848,8.5,488,78.08
SILVER BRACELETS,BFTN 115,0,0,3,52.032,8,271,86.72
SILVER BRACELETS,BFTN 115,0,0,3,54.336,8.5,283,90.56
SILVER BRACELETS,BCTG 920,0,0,3,56.256,8,293,93.76
SILVER BRACELETS,BCTG 920,0,0,3,59.904,8.5,312,99.84
SILVER BRACELETS,BCBP 800,0,0,3,38.592,8,201,64.32
SILVER BRACELETS,BCBP 800,0,0,3,41.088,8.5,214,68.48
SILVER BRACELETS,BSKL 761,0,0,6,27.36,7,285,45.6
SILVER BRACELETS,BSKL 761,0,0,6,29.088,7.5,303,48.48
SILVER BRACELETS,BTOV 561,0,0,6,22.56,7,235,37.6
SILVER BRACELETS,BTOV 561,0,0,6,24.48,7.5,255,40.8
SILVER BRACELETS,BCRK 775,0,0,6,26.688,7,278,44.48
SILVER BRACELETS,BCRK 775,0,0,6,28.224,7.5,294,47.04
SILVER BRACELETS,BSKM 775,0,0,6,40.512,7.5,422,67.52
SILVER BRACELETS,BPKM 210,0,0,6,35.712,7.5,372,59.52
SILVER BRACELETS,BSTR 4681,0,0,6,21.504,7,224,35.84
SILVER BRACELETS,BSTR 4681,0,0,6,22.56,7.5,235,37.6
SILVER BRACELETS,BSTR 6831,0,0,6,28.608,7,298,47.68
SILVER BRACELETS,BSTR 6831,0,0,6,30.624,7.5,319,51.04
SILVER BRACELETS,BSTR 6831,0,0,6,33.024,7.5,344,55.04
SILVER BRACELETS,BSBP 5711,0,0,6,26.88,7,280,44.8
SILVER BRACELETS,BSBP 5711,0,0,6,28.8,7.5,300,48
SILVER BRACELETS,BSBP 5711,0,0,6,30.624,8,319,51.04
SILVER BRACELETS,BCBW 11T,0,0,1,28.224,8,49,47.04
SILVER BRACELETS,BSRK 501,0,0,1,20.736,8,36,34.56
SILVER BRACELETS,BFTN 115,0,0,3,50.496,8,263,84.16
SILVER BRACELETS,BFTN 115,0,0,3,54.144,8.5,282,90.24
SILVER NECKLECES,NCBP 46,0,0,3,47.616,20,248,79.36
SILVER NECKLECES,NCBP 46,0,0,6,52.416,22,546,87.36
SILVER NECKLECES,NCBP 46,0,0,6,56.928,24,593,94.88
SILVER BRACELETS,BCHK 1041,0,0,3,61.824,8,322,103.04
SILVER BRACELETS,BCHK 1041,0,0,3,65.856,8.5,343,109.76
SILVER BRACELETS,BCHK 1041,0,0,3,68.928,9,359,114.88
SILVER BRACELETS,BSTR 6831,0,0,6,31.584,8,329,52.64
SILVER BRACELETS,BSTR 683,0,0,6,28.032,7,292,46.72
SILVER BRACELETS,BSTR 683,0,0,6,29.952,7.5,312,49.92
SILVER BRACELETS,BSTR 683,0,0,3,31.488,8,164,52.48
SILVER BRACELETS,BCTG 920,0,0,3,54.336,8,283,90.56
SILVER BRACELETS,BCTG 920,0,0,3,57.408,8.5,299,95.68
SILVER BRACELETS,BCTG 920,0,0,1,60.48,9,105,100.8
SILVER BRACELETS,BCBP 800,0,0,3,35.712,7.5,186,59.52
SILVER BRACELETS,BCBP 800,0,0,6,38.496,8,401,64.16
SILVER BRACELETS,BCBP 800,0,0,6,40.704,8.5,424,67.84
SILVER BRACELETS,BFTR 150,0,0,1,82.368,9.5,143,137.28
SILVER BRACELETS,BLKL 750,0,0,12,20.91,7.5,240,34.85
SILVER BRACELETS,BLKL 750,0,0,12,22.08,8,252,36.8
SILVER BRACELETS,BLKL 750,0,0,12,22.794,8.5,264,37.99
SILVER BRACELETS,BLKL 115,0,0,12,30.99,8,364,51.65
SILVER BRACELETS,BLKL 115,0,0,12,32.772,8.5,371,54.62
SILVER BRACELETS,BSTR 738-S,0,42,12,57.336,7,557,95.56
SILVER BRACELETS,BSTR 738-S,0,42,11,58.986,7.5,544,98.31
SILVER BRACELETS,BSTR 738-S,0,42,6,60.714,8,313,101.19
SILVER BRACELETS,BSER 117-G,0.9,0,1,98.208,9.5,90,163.68
SILVER BRACELETS,BCTR 800-G,0.5,0,6,67.584,7,401,112.64
SILVER BRACELETS,BCTR 800-G,0.5,0,6,70.374,7.5,428,117.29
SILVER BRACELETS,BCTR 800-G,0.5,0,6,72.966,8,451,121.61
SILVER BRACELETS,BSFK 850-G,0.9,0,6,74.82,7,319,124.7
SILVER BRACELETS,BSFK 850-G,0.9,0,5,77.124,7.5,280,128.54
SILVER BRACELETS,BSFK 850-G,0.9,0,3,79.428,8,178,132.38
SILVER BRACELETS,BSFK 816-S,0,16,6,50.004,7,327,83.34
SILVER BRACELETS,BSFK 816-S,0,16,6,52.308,7.5,341,87.18
SILVER BRACELETS,BSFK 816-S,0,16,3,56.34,8,180,93.9
SILVER BRACELETS,BSOK 831-S,0,22,6,37.59,7,206,62.65
SILVER BRACELETS,BSOK 831-S,0,22,6,39.318,7.5,219,65.53
SILVER BRACELETS,BSOK 831-S,0,22,3,41.046,8,117,68.41
SILVER BRACELETS,BFTN 1445-G,1.2,0,5,91.842,7.5,319,153.07
SILVER BRACELETS,BFTN 1445-G,1.2,0,3,94.722,8,200,157.87
SILVER BRACELETS,BFTN 1445-S,0,12,6,60.12,7.5,378,100.2
SILVER BRACELETS,BFTN 1445-S,0,12,3,63,8,195,105
SILVER BRACELETS,BFTN 1445-S,0,12,3,65.88,8.5,210,109.8
SILVER BRACELETS,BSTR 468-G,0.8,0,6,58.968,7,212,98.28
SILVER BRACELETS,BSTR 468-G,0.8,0,5,39.888,7.5,186,66.48
SILVER BRACELETS,BSTR 711-G,1.3,0,6,108.84,8,546,181.4
SILVER BRACELETS,BSTR 711-G,1.3,0,6,111.144,8.5,573,185.24
SILVER BRACELETS,BSTR 815-S,0,15,6,46.92,7,280,78.2
SILVER BRACELETS,BSTR 815-S,0,15,6,49.224,7.5,295,82.04
SILVER BRACELETS,BSTR 815-S,0,15,3,51.528,8,158,85.88
SILVER BRACELETS,BCST 775-G,0.8,0,1,61.356,8.5,39,102.26
SILVER BRACELETS,BSOK 45,0,0,1,17.28,8,30,28.8
SILVER BRACELETS,BSOK 45,0,0,2,18.144,8.5,63,30.24
SILVER BRACELETS,BSTL 107,0,0,,42.816,8,448,71.36
SILVER BRACELETS,BSTL 107,0,0,6,44.736,8.5,466,74.56
SILVER BRACELETS,BSTL 107,0,0,3,48,9,250,80
SILVER BRACELETS,BTRP 610,0,0,3,45.888,8,239,76.48
SILVER BRACELETS,BTRP 610,0,0,6,48.48,8.5,505,80.8
SILVER BRACELETS,BTOV 552,0,0,6,39.456,7,411,65.76
SILVER BRACELETS,BTOV 552,0,0,6,41.952,7.5,437,69.92
SILVER BRACELETS,BTOV 552,0,0,2,44.64,8,155,74.4
SILVER BRACELETS,BSTR 46,0,0,12,17.328,7,361,28.88
SILVER BRACELETS,BSTR 46,0,0,12,18.576,7.5,387,30.96
SILVER BRACELETS,BSTR 46,0,0,6,19.776,8,206,32.96
SILVER BRACELETS,BSRK 560,0,0,6,22.752,7,237,37.92
SILVER BRACELETS,BSRK 560,0,0,6,24.48,7.5,255,40.8
SILVER BRACELETS,BTOV 562,0,0,6,23.904,7,249,39.84
SILVER BRACELETS,BTOV 562,0,0,6,25.344,7.5,264,42.24
SILVER BRACELETS,BTOV 562,0,0,3,27.072,8,141,45.12
SILVER BRACELETS,BSRK 501,0,0,8,16.848,7,234,28.08
SILVER BRACELETS,BSRK 501,0,0,8,18,7.5,250,30
SILVER BRACELETS,BCBP 800,0,0,6,38.496,8,401,64.16
SILVER BRACELETS,BCBP 800,0,0,6,41.184,8.5,429,68.64
SILVER BRACELETS,8SOK 45,0,0,10,18.546,7,322,30.91
SILVER BRACELETS,BSOK 45,0,0,10,19.644,7.5,341,32.74
SILVER BRACELETS,BSOK 45,0,0,5,21.426,8,186,35.71
SILVER BRACELETS,BCRK 775,0,0,6,26.688,7,278,44.48
SILVER BRACELETS,BCRK 775,0,0,6,28.512,7.5,297,47.52
SILVER BRACELETS,BCHK 1041,0,0,6,60.576,8,631,100.96
SILVER BRACELETS,BCHK 1041,0,0,6,65.28,8.5,680,108.8
SILVER BRACELETS,BCHK 1041,0,0,1,68.544,9,119,114.24
SILVER BRACELETS,BCBW 11T,0,0,7,27.072,7.5,329,45.12
SILVER BRACELETS,BCBW 11T,0,0,6,28.704,8,299,47.84
SILVER BRACELETS,BSED 1151,0,0,6,36.192,8,299,60.32
SILVER BRACELETS,BSED 1151,0,0,6,38.208,8.5,398,63.68
SILVER BRACELETS,BSTR 6831,0,0,6,30.24,7.5,315,50.4
SILVER BRACELETS,BSTR 6831,0,0,6,32.352,8,337,53.92
SILVER BRACELETS,BSTR 6831,0,0,6,33.504,8.5,349,55.84
SILVER BRACELETS,BSTR 683,0,0,6,28.128,7,293,46.88
SILVER BRACELETS,BSTR 683,0,0,6,30.048,7.5,313,50.08
SILVER BRACELETS,BSTR 683,0,0,6,31.68,8,330,52.8
SILVER BRACELETS,BSER 1016,0,0,3,73.92,8.5,385,123.2
SILVER BRACELETS,BSHK 942,0,0,3,45.312,8.5,236,75.52
SILVER BRACELETS,BSHK 942,0,0,3,48.768,8.5,254,81.28
SILVER BRACELETS,BSFK 570,0,0,6,21.792,7,227,36.32
SILVER BRACELETS,BSFK 570,0,0,6,23.232,7.5,242,38.72
SILVER BRACELETS,BSFK 570,0,0,3,25.152,8,131,41.92
SILVER BRACELETS,BCBP 68,0,0,6,28.224,7,294,47.04
SILVER BRACELETS,BCBP 68,0,0,6,30.048,7.5,313,50.08
SILVER BRACELETS,BCBP 68,0,0,6,31.776,8,331,52.96
SILVER BRACELETS,BCBP 68,0,0,6,33.696,8.5,351,56.16
SILVER BRACELETS,BCHK 1040,0,0,3,61.248,8,319,102.08
SILVER BRACELETS,BCHK 1040,0,0,3,65.088,8.5,339,108.48
SILVER BRACELETS,BCHK 1040,0,0,1,67.968,9,118,113.28
SILVER BRACELETS,BCHK 1040,0,0,1,70.848,9.5,123,118.08
SILVER BRACELETS,BSFK 5701-S,0,57,3,52.47,7,131,87.45
SILVER BRACELETS,BSFK 5701-S,0,57,4,54.198,7.5,186,90.33
SILVER BRACELETS,BKLP 813-S,0,11,2,43.884,7.5,64,73.14
SILVER BRACELETS,BKLP 813-S,0,11,2,53.334,7.5,64,88.89
SILVER BRACELETS,BKLP 813-S,0,11,2,44.484,7.5,64,74.14
SILVER NECKLECES,NKLP 813-S,0,8,2,47.232,17,72,78.72
SILVER NECKLECES,NKLP 813-S,0,8,2,48.57,17,72,80.95
SILVER NECKLECES,NKLP 813-S,0,8,2,48.06,17,72,80.1
SILVER NECKLECES,NBKL 416-S,0,6,6,49.752,16,197,82.92
SILVER NECKLECES,NCRK 775,0,0,3,57.408,16,299,95.68
SILVER NECKLECES,NCRK 775,0,0,3,63.168,18,329,105.28
SILVER EARINGS,EBGW 970,0,0,6,8.58,18,54,14.3
SILVER EARINGS,EBGW 01,0,0,6,10.14,18,78,16.9
SILVER BRACELETS,BLKL 750,0,0,1,22.794,9,21,37.99
SILVER BRACELETS,BSTR 5705-S,0,75,6,53.244,7,240,88.74
SILVER BRACELETS,BSTR 5705-S,0,75,6,54.972,7.5,258,91.62
SILVER BRACELETS,BCBP 4611-S,0,12,12,37.728,7,372,62.88
SILVER BRACELETS,BCBP 4611-S,0,12,12,37.728,7,372,62.88
SILVER BRACELETS,BCBP 4611-S,0,12,12,38.88,7.5,396,64.8
SILVER BRACELETS,BCBP 4611-S,0,12,12,38.88,7.5,396,64.8
SILVER BRACELETS,BCBP 4611-S,0,12,6,40.032,8,210,66.72
SILVER BRACELETS,BCBP 4611-S,0,12,6,40.032,8,210,66.72
SILVER BRACELETS,BCVJ 831-S,0,1,3,43.356,7,96,72.26
SILVER BRACELETS,BCVJ 831-S,0,1,3,44.508,7.5,102,74.18
